Network,FamilyName,Alias,FamilyRoleOrder,Instance,Obj,Vice,Color,Theme,HQ,FamilyRole,BattlePerk,BattleQuirk,AttackType,Weapon,AttackName,FirstName,LastName,Age,AgeOriginal,JobVenue,JobVenueArea,JobVenueRegion,Race,Residence,SubResidence,Height,Weight,Feet,Band,Role,Occupation,HiddenRole,Archetype,BestPref1,BestPref2,BestPref3,FearType1,FearType2,FearType3,PartnerAlias,PartnerType,PartnerOccupation,PartnerJobLevel
Transcendence,Protagonist,Rian R,8,1,Asc_Rian_R,Oblivion,Magenta,Second Chances,City Hall Annex,self,Reforged,Unsung-,Charge,Crest Buckler,Legacy Impact,Rian,Redford,33,33,City Hall,SE District,SE District,White,NW District,House_NWDistrict_Rian_R,70,178,10,7.25,Civic Figure,Investment Executive,Endowment Regent,Threshold Regent,ChallengeMode,OutOfBox,ActsSpeaks,LossStatus,LossControl,Dark,Maris A,Fiance,Heiress,6
Transcendence,Protagonist,Hank F,8,2,Asc_Hank_F,Oblivion,Magenta,Second Chances,City Hall Annex,self,Reforged,Exhausted-,Low,Backpack Defibrillator,Pulse Restart,Hank,Foster,34,34,Hospital,SE District,SE District,White,SE District,House_SEDistrict_Hank_F,71,185,10.5,7.25,Civic Figure,Paramedic,Ambulant Field Chirurgeon,Country Patch,PlansAhead,RuleBound,WatchesListens,Failure,Uncertainty,LossFamily,Elowen V,Wife,City Administrative Coordinator,5
Transcendence,Protagonist,Delman B,8,3,Asc_Delman_B,Oblivion,Magenta,Second Chances,City Hall Annex,self,Reforged,Enigmatic-,Charge,Demolition Crowbar,Hardhat Override,Delman,Bennett,32,32,Construction Site,SE District,SE District,White,SW District,House_SWDistrict_Delman_B,72,195,11,7.5,Civic Figure,Utility Line Technician,Network Hacker,Roofline Whisperer,Protective,RuleBound,ActsSpeaks,LossControl,LossCareer,Uncertainty,Sable K,Wife,Housewife,1
Transcendence,Protagonist,Severin S,8,4,Asc_Severin_S,Oblivion,Magenta,Second Chances,City Hall Annex,self,Reforged,Constrained-,Low,CF Instep Braces,Black Smoke Instep,Severin,Schon,33,33,NW District,NW District,NW District,White,NW District,House_NWDistrict_Severin_S,73,190,11,7.25,Civic Figure,Celebrity Action Star,Celebrity Operative,Rehearsed Shadow,QuietTime,LowProfile,WatchesListens,Uncertainty,LossControl,LossStatus,Nadia M,Girlfriend,Model,6
Transcendence,Protagonist,Bram W,8,5,Asc_Bram_W,Oblivion,Magenta,Second Chances,City Hall Annex,self,Reforged+,Obligated-,Anti-Aerial,Signal Flare Launcher,Beacon Shot,Bram,Willemsen,45,45,City Hall,SE District,SE District,White,NW District,House_NWDistrict_Bram_W,72,205,11,7.5,Civic Figure,City Mayor,Crisis Response Czar,Crisis Architect,LowProfile,CrowdEnergy,WatchesListens,Crowds,Responsibility,Responsibility,Celine S,Wife,Housewife,1
Transcendence,Protagonist,Tate H,8,6,Asc_Tate_H,Oblivion,Magenta,Second Chances,City Hall Annex,self,Reforged,Apathetic-,Aerial,Fire Axe,High-Rise Cleave,Tate,Hansen,38,38,Fire Station,SE District,SE District,White,SW District,House_SWDistrict_Tate_H,72,210,11.5,7.5,Civic Figure,Fire Captain,Emergency Operations Consultant,Annex Watch Lead,OutOfBox,StatusSignal,Detached,Uncertainty,Uncertainty,Exposure,Rowena H,Widower,Deceased,0
Transcendence,Protagonist,Benedict C,8,7,Asc_Benedict_C,Oblivion,Magenta,Second Chances,City Hall Annex,self,Reforged,Disruptive-,Aerial,Field Scroll,Radiant Rhetoric,Benedict,Clair,58,58,Church,N District,N District,White,Rectory,House_Rectory_Benedict_C,69,165,10,7.25,Civic Figure,Minister,Minister of the Civic Chapel,Comfort Pillar,ClearHead,RuleBound,Detached,LossFamily,Uncertainty,Failure,Inez B,Widower,Deceased,0
Transcendence,Protagonist,Thomas B,8,8,Asc_Thomas_B,Oblivion,Magenta,Second Chances,City Hall Annex,self,Reforged,Defiant-,Anti-Aerial,Patrol Carbine,Case Closure,Thomas,Brown,36,36,Police Station,SE District,SE District,White,SE District,House_SEDistrict_Thomas_B,72,205,11,7.5,Civic Figure,Police Investigator,Internal Affairs,Recordkeeper,OutOfBox,ActsSpeaks,StatusSignal,Uncertainty,Uncertainty,Uncertainty,Paloma Q,Fiance,Police Officer,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__DATA_DICTIONARY__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field,Meaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network,"Network/foundation group the record belongs to (e.g., Opulence, Glamour).(frozen list).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FamilyName,"Primary family sphere bucket used for narrative grouping (e.g., William, Sebastian, Protagonist).(frozen list).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alias,Immutable proxy identifier for the associate.(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FamilyRoleOrder,Primary sort/order within the family sphere.(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instance,Secondary sort/order (1–8) used for balance/roster logic.(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obj,Primary objective drive (short label).(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vice,Vice alignment label for the record’s thematic pressure.(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,UI accent color keyword/label.(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme,Short thematic tagline for the network lane.(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HQ,Primary home base / hub location label.(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FamilyRole,Role inside the family sphere (in-world social function).(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BattlePerk,Combat perk keyword affecting gameplay behavior.(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BattleQuirk,Behavioral quirk tag used for encounter variety.(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AttackType,Elemental/attack lane classification (A/B/C/D mapping used in roster balance).(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon,Signature weapon style/gear label.(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AttackName,Named signature move for flavor.(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Band,Social/crew band label (if used in that network).(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role,Primary story/operations role bucket.(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation,Public-facing day job or main position.(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiddenRole,Private/secret role (single-value).(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archetype,Short archetype tag for narrative framing.(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BestPref1,Top preference tag 1 (frozen enum).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BestPref2,Top preference tag 2 (frozen enum).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BestPref3,Top preference tag 3 (frozen enum).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FearType1,Fear tag 1 (frozen enum).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FearType2,Fear tag 2 (frozen enum).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FearType3,Fear tag 3 (frozen enum).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PartnerAlias,Partner proxy name (can repeat across records when shared).(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PartnerType,Relationship type enum (frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PartnerOccupation,Partner’s public-facing job/cover.(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PartnerJobLevel,Partner’s job-skill level as an integer (0=Deceased).(frozen list).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM: Associates,The 64 individuals in asc_network (exclude partners/family/rivals).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM: Family,"Only the family group tied to the primary, including the primary themselves (e.g., Milo/Kevin/Kate/Dan etc.).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM: ExternalRelationships,"Links to non-family, non-associate, and non-partner entities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
